Name,Artist,Size,Price,Views,Favourites,Date,Subject,Medium,Material,Category,Country,CraftsAvailability
Anna No.3, Hormazd Narielwalla,212.4,680,634,7,9/21/15,Fashion,Craft,Craft,Collage,United Kingdom,No
Sundown with moon on 57th Street Edition of 4/10 Crafted on archival Craft, Pedro Abreu,140.4,685,1503,18,12/16/85,Nature,Craft,Craft,Digital,United States,No
Cephalaria Gigantea II - Limited Edition, David Crosby,480,685,300,3,8/26/15,Floral,Digital,Digital Craft,Digital,United Kingdom,Yes
Aconitum Napellus I - Limited Edition, David Crosby,480,685,290,5,8/4/15,Floral,Digital,Digital Craft,Digital,United Kingdom,Yes
Origami Boat, Marlies Plank,148.208,690,1560,17,2/22/15,Seascape,Digital,Craft Digital Manipulated,Digital,Austria,No
Triangle love, Mario Romoda,44.368,700,488,9,9/10/14,Love,Digital,Craft Liquid,Collage,Croatia,Yes
The calm and the storm, Kathy Ferguson,800,700,1169,15,12/31/12,Landscape,Solid,Liquid Craft Liquid,Collage,United States,Yes
Despair Limited Edition 1/5 Framed, Maria Pleshkova,207.368,700,83,4,6/9/15,Love,Craft,Craft Digital,Digital,Russia,No
Nude Studio, Massimo Conti,74.104,700,8671,130,10/31/15,Nude,Craft,Craft,Digital,Italy,Yes
In Search Of Lost Time -Blue, Mona Hoel,394.384,700,749,8,10/19/13,People,Liquid,Liquid Liquid,Liquiding,Finland,No
Territory 29, Tristesse Seeliger,480,700,551,9,3/31/14,Geometric,Craft,Craft,Collage,Canada,Yes
When We Were Little Children (2013), MaryAnn Loo,216,700,701,19,1/15/13,Animal,Liquid,Liquid Craft Liquid Craft,Liquiding,Singapore,Yes
A Touch Of Gold, Maurice Sapiro,43.2,700,2579,29,3/12/14,Abstract,Liquid,Liquid,Liquiding,United States,Yes
Ontological Light, Elizabeth Weber,1152,700,251,7,12/31/07,Abstract,Liquid,Liquid,Liquiding,United States,No
Drowning Man - limited edition of 30, Zac Macaulay,71.416,700,591,7,8/1/12,Water,Digital,Craft & White Craft Digital,Digital,United Kingdom,No
Medgen wife of the Liquider with his sons Holy dog and Winged cat, Rai Escale,53.424,750,283,17,9/1/15,Classical mythology,Solid,Liquid,Collage,Spain,No
Polygons V, Christine Crockett,64,750,532,23,5/31/15,Geometric,Liquid,Liquid,Collage,United States,No
Forest girl, igor vitomirov,217.488,750,1161,17,6/1/15,Women,Digital,Digital Craft,Digital,Sweden,Yes
